country,text
Iran,Iran appeared intent on keeping indirect lines open
Iran,"The Iranians have not, from all available evidence, been racing for a bomb"
Iran,Iranian drones and missiles used to attack it constituted a major victory
Iran,"Iran's intent, despite the fact that its leadership telegraphed the attack well in advance, publicly and privately"
Israel,The interception of nearly all of the more than 300 drones and missiles fired against Israel 
Israel,Israeli jets early on Sunday hit structures in Lebanon controlled by Hezbollah
Israel,"It would be easy to be dazzled by the way Israeli, American and other allied militaries shot down virtually every Iranian drone"
Israel,"Iran has a regional network, and Israel needs a regional alliance, along with the U.S."
Iran,Iran's behavior would be tacitly normalized
Iran,Iran just unwittingly revealed to the whole world that Iran's government is so penetrated by Western espionage agencies 
Iran,"Iran has retaliated directly against Israel for the killings of its senior generals in Damascus, Syria, with an onslaught of more than 300 drones"
Iran,Iranians targeted only military sites in an apparent effort to avoid civilian casualties and advertised their attack well in advance
Israel,But since the Hamas-led assault of Oct. 7 prompted Israel to go to war in Gaza
Israel,"The Israeli strike on Iran's Embassy compound in Damascus, followed by a direct Iranian strike on Israel"
Israel,If Israel decides to respond to the attack with direct strikes on Iran
Israel,Most Israelis understand that particular war will have to be fought sooner or later
Iran,Iranian military commanders undoubtedly understood that most of their slow-moving drones
Iran,April 1 attack on Iran's embassy complex in Damascus that killed seven Iranian military adviser
Iran,"Iran's barrage on Sunday, launched in response to an Israeli attack"
Iran,Iran maintains a network of proxy militias across the region
Israel,Israel's display of defensive technology against an Iranian
Israel,Israel's allies have been urging restraint
Israel,Israel had grown used to targeting Iranian officials without head-on retaliation from Iran
Israel,Israeli strikes destroyed part of an Iranian embassy complex in Damascus
Iran,Iran's unprecedented strikes on Israel this weekend have shaken Israel's assumptions about its foe
Iran,Iran doesn't have good means to retaliate
Iran,Iran's decision to respond this time was partly prompted by the fury in some circles of Iranian society 
Israel,Israel had come out ahead in its confrontation with Iran
Israel,Israeli jets early Sunday hit structures in Lebanon controlled by Hezbollah 
Iran,Iranian-backed militia sent two explosive drones into Israel
Iran,Iran came at a time of great tension between Biden and Netanyahu
Iran,Iran has retaliated directly against Israel for the killings of its senior generals in Damascus
Iran,Now that Iran has attacked Israel as it promised to do
Israel,The Israeli strike on Iran
Israel,Israel strikes any Iranian targets or kills any Iranians
Israel,Israeli air-defense interceptors in the sky above the Old City of Jerusalem
Israel,Israel could count on full U.S. support to defend itself
Iran,"Iran launched more than 200 drones, cruise missiles and ballistic missiles toward Israel on Saturday evening"
Iran,"Iran-backed group in Lebanon, announced that it had also fired dozens of rockets at Israeli barracks in the Golan Heights"
Iran,Iranian-launched drones targeting Israel
Iran,Iranians flocked to gas stations in the middle of the night
Israel,Israeli emergency response service
Israel,But Israeli officials denied that the building had diplomatic status and the protections that would go with it
Israel,We will help defend Israel and Iran will not succeed
Israel,How Israel would respond to an Iranian attack on its soil is unclear
Iran,Iran believes it can generate international support for a retaliatory strike
Iran,"Iranian proxies like Hezbollah, could escalate into a broader regional war"
Iran,It's that they realize any war against Iran is a very serious war
Iran,Iran has provided for nonstate actors is really unprecedented in terms of drones
Israel,Israel assessed that Iran's response was likely to be launched from its own territory
Israel,"Israel, have avoided direct military strikes on Iran for decades"
Israel,Israel and Iran do not maintain any direct channels of communication
Israel,But Israeli officials have argued that the building they destroyed was diplomatic in name only
Iran,But Iran is not expected to target them
Iran,"Iran also has a large inventory of drones that have a range of about 1,200 to 1,550 miles "
Iran,Iran's leaders have repeatedly vowed to punish Israel for an April 1 strike
Iran,As Iran and Israel have traded fresh threats in recent days
Israel,Israel withdrew troops from southern Gaza over the weekend but said the military would stay 
Israel,"The Israeli military said Thursday that its forces had carried out a precise, intelligence-based operation"
Israel,The shadow war between Israel and Iran broke into the open this week
Israel,Israeli troops in Gaza in recent months
Iran,"For years, Iran has been the outsider"
Iran,Iran now supports more than 20 groups in the Middle East
Iran,Iranian-backed militant group
Iran,"Iran's outreach to Hamas began in Lebanon in the early 1990s after Israel forced hundreds of Palestinians, including Hamas leaders, to go there"
Israel,Hamas invaded Israel from Gaza
Israel,Israeli tanks and communication nodes
Israel,The Israeli airstrike this week in Damascus that killed seven Iranian commanders 
Israel,Israel has also placed its military on high alert
Iran,"Iran fired missiles at U.S. bases in Iraq, injuring more than 100 troops"
Iran,Iran would strike Israel itself than that it would have its proxies attack U.S. 
Iran,President Ebrahim Raisi of Iran said that Israel would be punished and made to regret its attack in Damascus
Iran,"Iran has tried to calibrate its response, applying pressure on Israel while avoiding all-out war"
Israel,The war between Israel and Hamas gave this year's iteration a sharper edge than usua
Israel,"Iran's supreme leader, held a large meeting on Wednesday with government, military and religious leaders of the country, and pledged that Israel would receive ""a slap"" for killing Iranian officers in Syria"
Israel,The Israeli leader has come under sharper criticism from allies like the United States
Israel,Israel has called the strike a tragic mistake
Iran,Iranian leaders have vowed to punish Israel for killing top Iranian commanders 
Iran,but Israeli newspapers noted that it came amid fears of an increased threat from Iran
Iran,Iranian military commanders with the kind of pinpoint accuracy that has earned Israel
Iran,Iranian commanders were there to meet Palestinian militants to discuss the war in Gaza
Israel,Israeli military enforces the rules of engagement in its war against Hamas
Israel,Israel still faces international repercussions from the strike
Israel,France and Britain did not condemn Israel
Israel,"Russia, a close ally of Iran, had called for the meeting to discuss Israel's attack"
Iran,Iranian diplomatic compound was in a densely populated civilian area 
Iran,saying instead that the United States was concerned about Iran and its proxy militia's use of Syrian territory 
Iran,Iran hit back by attacking two bases in Iraq that housed American troops with a barrage of missiles
Iran,Iranian military leaders and nuclear scientists
Israel,An escalation between Israel and Iran would also risk further entangling the United States
Israel,Israel killed Iran's top nuclear scientist
Israel,Israel's bombing of an Iranian Embassy building in Damascus
Israel,Israel's strike was incredibly reckless
Iran,"Iran promises major retaliation, and the danger of a miscalculation is ever-present"
Iran,Iran has vowed retaliation and revenge
Iran,Iran's covert military operations in Syria and Lebanon
Iran,"Iran's foreign minister, Hossein Amir Abdollahian, strongly condemned the strike and said he had spoken to his Syrian counterpart "
Israel,Israeli officials said the building was an outpost of the Revolutionary Guards
Israel,Israeli soldiers withdrew from Gaza's largest hospital complex
Israel,The strike came as Israeli soldiers withdrew from Gaza
Israel,The Israeli military later publicized some evidence to support its case
Iran,At least three senior commanders and four officers overseeing Iran covert operations in the Middle East were killed Monday when Israeli 
Iran,Iranian intelligence officials and Palestinian militants were to discuss the war in Gaza
